,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,구별,검거계,범죄건수,검거율,cctv
0,중부서,2,2,3,2,105,65,1395,477,1355,1170,중부서,1716,2860,60.0,2780.0
1,종로서,3,3,6,5,115,98,1070,413,1278,1070,종로서,1589,2472,64.2799352750809,773.0
2,남대문서,1,0,6,4,65,46,1153,382,869,794,남대문서,1226,2094,58.54823304680038,748.0
3,서대문서,2,2,5,4,154,124,1812,738,2056,1711,서대문서,2579,4029,64.0109208240258,884.0
4,혜화서,3,2,5,4,96,63,1114,424,1015,861,혜화서,1354,2233,60.6359158083296,1496.0
5,용산서,5,5,14,14,194,173,1557,587,2050,1704,용산서,2483,3820,65.0,707.0
6,성북서,2,2,2,1,86,71,953,409,1194,1015,성북서,1498,2237,66.9646848457756,1561.0
7,동대문서,5,5,13,13,173,146,1981,814,2548,2227,동대문서,3205,4720,67.90254237288136,1015.0
8,마포서,8,8,14,10,294,247,2555,813,2983,2519,마포서,3597,5854,61.44516569866758,1265.0
9,영등포서,14,12,22,20,295,183,2964,978,3572,2961,영등포서,4154,6867,60.49220911606233,485.0
10,성동서,4,4,9,8,126,119,1607,597,1612,1395,성동서,2123,3358,63.222156045265045,1294.0
11,동작서,5,5,9,5,285,139,1865,661,1910,1587,동작서,2397,4074,58.83652430044183,1091.0
12,광진서,4,4,14,26,240,220,3026,1277,2625,2180,광진서,3707,5909,62.734811304789304,574.0
13,서부서,2,2,2,1,70,59,819,293,1192,1038,서부서,1393,2085,66.81055155875299,962.0
14,강북서,7,8,14,13,153,126,1434,618,2649,2348,강북서,3113,4257,73.1266149870801,1930.0
15,금천서,3,4,6,6,151,122,1567,888,2054,1776,금천서,2796,3781,73.94869082253372,1062.0
16,중랑서,13,12,11,9,187,148,2135,829,2847,2407,중랑서,3405,5193,65.56903523974582,1464.0
17,강남서,3,3,15,12,300,225,2411,984,2465,2146,강남서,3370,5194,64.88255679630342,618.0
18,관악서,9,8,12,14,320,221,2706,827,3298,2642,관악서,3712,6345,58.50275807722616,2034.0
19,강서서,7,8,13,13,262,191,2096,1260,3207,2718,강서서,4190,5585,75.02238137869293,904.0
20,강동서,4,3,6,8,156,123,2366,789,2712,2248,강동서,3171,5244,60.46910755148741,1624.0
21,종암서,3,3,3,3,64,53,832,332,1015,840,종암서,1231,1917,64.2149191444966,1873.0
22,구로서,8,6,15,11,281,164,2335,889,3007,2432,구로서,3502,5646,62.0262132483174,1002.0
23,서초서,7,4,8,5,334,193,1982,905,1852,1607,서초서,2714,4183,64.8816638775998,671.0
24,양천서,3,5,6,3,120,105,1890,672,2509,2030,양천서,2815,4528,62.168727915194346,660.0
25,송파서,11,10,13,10,220,178,3239,1129,3295,2786,송파서,4113,6778,60.68161699616405,
26,노원서,10,10,7,7,197,121,2193,801,2723,2329,노원서,3268,5130,63.70370370370371,
27,방배서,1,2,1,1,59,56,653,186,547,491,방배서,736,1261,58.366375892149094,
28,은평서,1,1,7,5,96,82,1095,418,1461,1268,은평서,1774,2660,66.69172932330827,
29,도봉서,3,3,9,10,102,106,1063,478,1487,1303,도봉서,1900,2664,71.32132132132132,
30,수서서,10,7,6,6,149,124,1439,666,1819,1559,수서서,2362,3423,69.00379783815367,
