구별,살인검거율,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,살인,강도,강간,절도,폭력,범죄,검거
강남구,0.10256410256410264,0.10256410256410264,0.2631578947368421,0.5250506781537148,0.41604966975693514,0.7475830830771333,13,21,449,3850,4284,2.3620977359810356,8617
강동구,0.08333333333333337,0.08333333333333337,0.6140350877192982,0.5453204168585903,0.09426207085409954,0.3261816773491848,4,6,156,2366,2712,1.9131325861145063,5244
강북구,0.47619047619047594,0.47619047619047594,0.31578947368421056,0.6089071856287422,0.42413998744576165,1.0,7,14,153,1434,2649,4.253598551520619,4257
강서구,0.47619047619047594,0.47619047619047594,0.3684210526315789,0.43751571284911095,0.9999999999999998,0.5444315870959322,7,13,262,2096,3207,4.255130257338526,5585
관악구,0.2222222222222222,0.2222222222222222,0.4912280701754386,0.36791845995508976,0.0,0.0,9,12,320,2706,3298,1.7480354190194172,6345
광진구,0.33333333333333326,0.33333333333333326,1.0,0.7777881736526941,0.3938447421346205,0.3445637603967686,4,14,240,3026,2625,3.8495300095174163,5909
구로구,0.08333333333333337,0.08333333333333337,0.17192982456140343,0.173909742791996,0.25415842827874924,0.0901487528849696,8,15,281,2335,3007,1.0234800818504517,5646
금천구,0.6666666666666664,0.6666666666666664,0.3684210526315789,0.580652436848158,0.8834049155065631,0.7453363204505852,3,6,151,1567,2054,5.24448139210355,3781
노원구,0.33333333333333326,0.33333333333333326,0.3684210526315789,0.2293648743122889,0.2017945943287709,0.6357254480484809,10,7,197,2193,2723,2.768639302654453,5130
도봉구,0.33333333333333326,0.33333333333333326,0.4502923976608187,1.0,0.48744501092293446,0.8814351386049548,3,9,102,1063,1487,4.152505880522041,2664
동대문구,0.33333333333333326,0.33333333333333326,0.3684210526315789,0.645899674639161,0.3562656525599106,0.8551444165884661,5,13,173,1981,2548,3.55906412975245,4720
동작구,0.33333333333333326,0.33333333333333326,0.04093567251461988,0.0,0.16515004804844446,0.34941670069129493,5,9,285,1865,1910,1.8888357545876924,4074
마포구,0.33333333333333326,0.33333333333333326,0.15789473684210525,0.6390191555664182,0.04257622346137735,0.5084427219598204,8,14,294,2555,2983,2.6812661711630543,5854
서대문구,0.33333333333333326,0.33333333333333326,0.22105263157894733,0.5756619877128859,0.3440203926515324,0.3647588831926605,2,5,154,1812,2056,2.838827228469359,4029
서초구,0.08333333333333337,0.08333333333333337,0.12280701754385959,0.26449581752525475,0.3668844867773622,0.8611506598555216,8,9,393,2635,2399,1.9486713150353316,5444
성동구,0.33333333333333326,0.33333333333333326,0.28654970760233917,0.8281561876247503,0.22293172241124015,0.7538996043403827,4,9,126,1607,1612,3.4248705553120455,3358
성북구,0.33333333333333326,0.33333333333333326,0.22105263157894733,0.6145958083832335,0.3705535302833005,0.45326721964431194,5,5,150,1785,2209,2.9928025232231263,4154
송파구,0.24242424242424232,0.24242424242424232,0.19838056680161947,0.5827265922700053,0.14532376108760214,0.5210086027135219,11,13,220,3239,3295,2.417136492569718,6778
양천구,0.9999999999999999,0.9999999999999999,0.0,0.7022361526946106,0.16898035678205692,0.09375767615192743,3,6,120,1890,2509,4.964974185628594,4528
영등포구,0.19047619047619035,0.19047619047619035,0.30143540669856456,0.24047244494062725,0.08236910228646277,0.3266368081546922,14,22,295,2964,3572,1.7128185239851081,6867
용산구,0.33333333333333326,0.33333333333333326,0.3684210526315789,0.7326127384406445,0.24156744571586763,0.3532799434940763,5,14,194,1557,2050,3.0292145136155004,3820
은평구,0.33333333333333326,0.33333333333333326,0.12280701754385959,0.6558126217444626,0.22284261194129318,0.7986935732037992,3,9,166,1914,2653,3.1334891577667476,4745
종로구,0.16666666666666674,0.16666666666666674,0.2344497607655503,0.4992124755228877,0.26266424761325036,0.48119529966146324,6,11,211,2184,2293,2.1441884502298185,4705
중구,0.0,0.0,0.12280701754385959,0.29958832335329344,0.10662280084370068,0.9615541048047298,3,9,170,2548,2224,1.4905722465455835,4954
중랑구,0.2564102564102564,0.2564102564102564,0.2344497607655503,0.5507280892759936,0.2797477109240374,0.5201623592935931,13,11,187,2135,2847,2.6107289459002,5193
